iter	Passed	Remaining
806	17642	15150
807	17662	15127
808	17681	15102
809	17699	15077
810	17717	15052
811	17736	15027
812	17759	15007
813	17779	14983
814	17801	14961
815	17822	14939
816	17845	14918
817	17865	14895
818	17886	14872
819	17903	14847
820	17922	14822
821	17941	14798
822	17960	14774
823	17983	14753
824	18001	14728
825	18019	14703
826	18045	14685
827	18063	14660
828	18085	14638
829	18105	14615
830	18123	14590
831	18142	14566
832	18161	14541
833	18181	14519
834	18200	14495
835	18219	14471
836	18238	14446
837	18259	14424
838	18278	14400
839	18297	14376
840	18317	14353
841	18339	14331
842	18361	14310
843	18387	14291
844	18409	14269
845	18428	14245
846	18448	14222
847	18466	14198
848	18485	14174
849	18505	14150
850	18525	14127
851	18544	14104
852	18565	14081
853	18584	14058
854	18605	14035
855	18623	14011
856	18642	13987
857	18664	13965
858	18684	13942
859	18704	13919
860	18729	13900
861	18750	13878
862	18772	13856
863	18794	13834
864	18812	13810
865	18829	13785
866	18852	13763
867	18870	13739
868	18889	13716
869	18909	13693
870	18929	13670
871	18948	13646
872	18966	13621
873	18987	13599
874	19005	13575
875	19025	13552
876	19044	13529
877	19069	13509
878	19091	13487
879	19109	13463
880	19128	13440
881	19149	13417
882	19168	13393
883	19193	13374
884	19213	13351
885	19237	13331
886	19258	13309
887	19286	13292
888	19306	13269
889	19325	13245
890	19355	13229
891	19375	13206
892	19395	13183
893	19414	13160
894	19432	13135
895	19451	13112
896	19470	13088
897	19492	13067
898	19511	13043
899	19531	13020
900	19549	12996
901	19567	12972
902	19586	12949
903	19606	12926
904	19628	12904
905	19647	12881
906	19666	12857
907	19686	12835
908	19706	12812
909	19724	12788
910	19743	12765
911	19761	12741
912	19784	12720
913	19805	12698
914	19824	12674
915	19842	12650
916	19861	12627
917	19880	12604
918	19905	12584
919	19924	12561
920	19943	12537
921	19961	12513
922	19982	12491
923	20003	12469
924	20023	12446
925	20050	12428
926	20077	12410
927	20103	12391
928	20125	12369
929	20152	12351
930	20172	12328
931	20192	12305
932	20210	12282
933	20230	12259
934	20252	12238
935	20271	12214
936	20290	12191
937	20310	12168
938	20334	12148
939	20356	12127
940	20374	12103
941	20393	12080
942	20414	12058
943	20433	12035
944	20454	12013
945	20473	11989
946	20493	11967
947	20513	11944
948	20537	11924
949	20556	11901
950	20578	11879
951	20600	11858
952	20622	11836
953	20641	11813
954	20662	11791
955	20683	11769
956	20702	11746
957	20721	11723
958	20743	11702
959	20762	11679
960	20783	11656
961	20802	11633
962	20820	11610
963	20839	11587
964	20859	11564
965	20877	11541
966	20900	11520
967	20926	11501
968	20958	11485
969	20977	11461
970	20996	11438
971	21015	11415
972	21034	11392
973	21055	11370
974	21078	11350
975	21097	11327
976	21116	11303
977	21136	11281
978	21157	11259
979	21176	11236
980	21196	11214
981	21215	11191
982	21239	11170
983	21259	11148
984	21278	11125
985	21299	11103
986	21320	11081
987	21340	11059
988	21359	11036
989	21384	11016
990	21404	10994
991	21424	10971
992	21444	10948
993	21468	10928
994	21487	10905
995	21510	10885
996	21531	10863
997	21553	10841
998	21572	10818
999	21592	10796
1000	21610	10772
1001	21629	10749
1002	21647	10726
1003	21667	10704
1004	21689	10682
1005	21711	10661
1006	21733	10640
1007	21756	10619
1008	21778	10597
1009	21800	10576
1010	21827	10557
1011	21850	10536
1012	21871	10514
1013	21889	10491
1014	21909	10469
1015	21928	10446
1016	21948	10423
1017	21969	10402
1018	21988	10379
1019	22009	10357
1020	22030	10335
1021	22050	10313
1022	22080	10295
1023	22101	10273
1024	22120	10250
1025	22138	10227
1026	22156	10204
1027	22181	10184
1028	22205	10164
1029	22226	10142
1030	22244	10118
1031	22267	10098
1032	22291	10077
1033	22311	10055
1034	22330	10032
1035	22349	10009
1036	22368	9986
1037	22386	9963
1038	22405	9941
1039	22425	9918
1040	22444	9896
1041	22467	9875
1042	22487	9853
1043	22505	9829
1044	22524	9807
1045	22544	9785
1046	22570	9765
1047	22589	9742
1048	22609	9720
1049	22629	9698
1050	22648	9675
1051	22681	9659
1052	22701	9636
1053	22721	9614
1054	22739	9591
1055	22761	9570
1056	22791	9552
1057	22825	9535
1058	22842	9512
1059	22860	9489
1060	22881	9467
1061	22899	9444
1062	22920	9422
1063	22939	9400
1064	22963	9379
1065	22984	9357
1066	23009	9337
1067	23028	9314
1068	23052	9294
1069	23074	9273
1070	23103	9254
1071	23123	9232
1072	23142	9209
1073	23163	9187
1074	23188	9167
1075	23208	9145
1076	23229	9123
1077	23249	9101
1078	23273	9080
1079	23304	9062
1080	23330	9042
1081	23353	9021
1082	23375	9000
1083	23398	8979
1084	23424	8959
1085	23444	8937
1086	23466	8915
1087	23485	8893
1088	23505	8871
